p3n,p2n,p1n,p0n,g3n,g2n,g1n,g0n,cnn,V(cnx),V(cny),V(cnz),V(gn),V(pn),I(Va),I(V1),I(V2),I(V3),I(V4),I(V5),I(V6),I(V7),I(V8),I(V9)
0,0,1,0,0,0,0,1,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231492e-04, 9.999445e-01, -9.27171e-07, 8.437427e-11, 1.032361e-10, -1.12112e-10, 1.572104e-10, 1.198827e-10, 2.650033e-10, 2.402183e-10, -3.18422e-10, 7.895834e-11
0,0,1,0,0,0,0,1,1, 3.534877e-04, 9.998973e-01, 9.998974e-01, 1.231504e-04, 9.999445e-01, -1.00330e-06, 8.437428e-11, 1.032361e-10, -1.12112e-10, 1.572103e-10, 1.198827e-10, 2.650033e-10, 2.402183e-10, -4.77118e-10, -2.38653e-10
0,0,1,0,0,0,1,0,0, 9.998972e-01, 5.070758e-05, 9.998974e-01, 1.231501e-04, 9.999445e-01, -9.63834e-07, 8.437427e-11, 1.032361e-10, -1.91461e-10, 1.567575e-10, 1.198827e-10, 2.775306e-10, -4.77448e-10, 2.434044e-10, 5.662104e-11
0,0,1,0,0,0,1,0,1, 9.998972e-01, 5.070721e-05, 9.998974e-01, 1.231505e-04, 9.999445e-01, -9.99417e-07, 8.437428e-11, 1.032361e-10, -1.91461e-10, 1.567575e-10, 1.198827e-10, 2.775306e-10, -4.77448e-10, 2.443101e-10, -2.38640e-10
0,0,1,0,0,0,1,1,0, 9.998972e-01, 5.070739e-05, 9.998974e-01, 1.231490e-04, 9.999445e-01, -9.98398e-07, 8.437428e-11, 1.032361e-10, -1.91461e-10, 1.576632e-10, 1.198827e-10, 2.775306e-10, -5.56805e-10, -3.97777e-10, 9.012354e-11
0,0,1,0,0,0,1,1,1, 3.534880e-04, 9.194238e-07, 9.998974e-01, 1.231508e-04, 9.999445e-01, -1.12415e-06, 8.437428e-11, 1.032361e-10, -1.91461e-10, 1.576632e-10, 1.198827e-10, 2.775306e-10, -5.56805e-10, -5.56477e-10, -2.38659e-10
0,0,1,0,0,1,0,0,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231512e-04, 9.999445e-01, -9.18990e-07, 8.437428e-11, 1.036890e-10, -1.12112e-10, 1.563046e-10, 1.315042e-10, -2.38953e-10, 2.625556e-10, 2.317829e-10, 5.662104e-11
0,0,1,0,0,1,0,0,1, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231484e-04, 9.999445e-01, -9.54574e-07, 8.437428e-11, 1.036890e-10, -1.12112e-10, 1.563046e-10, 1.315042e-10, -2.38953e-10, 2.625556e-10, 2.326886e-10, -2.38640e-10
0,0,1,0,0,1,0,1,0, 9.998972e-01, 9.998973e-01, 9.998974e-01, 1.231503e-04, 9.999445e-01, -9.77581e-07, 8.437428e-11, 1.036890e-10, -1.12112e-10, 1.572104e-10, 1.315042e-10, -2.38953e-10, 2.741771e-10, -3.18422e-10, 7.895833e-11
0,0,1,0,0,1,0,1,1, 3.534876e-04, 9.998973e-01, 9.998974e-01, 1.231497e-04, 9.999445e-01, -1.05371e-06, 8.437428e-11, 1.036890e-10, -1.12112e-10, 1.572103e-10, 1.315042e-10, -2.38953e-10, 2.741771e-10, -4.77118e-10, -2.38653e-10
